,r2,rmse,kendall,spearman,mape,month,source
BALFATE,-0.6452763888412001,47217.20022644845,0.578494623655914,0.7560483870967742,53.772731094222195,1,agera5
YORO,0.3005151122924926,759.2684523750248,0.4698412698412699,0.631917631917632,58.90434030837304,1,agera5
LA ESPERANZA,-38.775830409591464,466.19944553355083,0.3013995287591297,0.4544813008276674,775.2821215222499,1,agera5
CAYETANO,-0.7673974937607266,1922.0105301240021,0.4227490050758519,0.5904570923932667,53.228894592907096,1,agera5
EL GUINEO,-1.043063817003536,6853.03063545394,0.30752688172043013,0.43024193548387096,66.70644770647313,1,agera5
AZACUALPA-PATUCA,-1.1520301332430205,3234.112726932877,0.15539866640262157,0.22344423153142717,85.37107923517355,1,agera5
SANTA MARIA,0.34522393212260727,395.256046268015,0.5494252873563219,0.703670745272525,118.23958462299677,1,agera5
CATACAMAS,0.2302716571646739,327.28493984700685,0.42463126118478295,0.6149444164558586,107.59520498795835,1,agera5
MANTO,-0.8836218728730614,388.75407783937953,0.3272733951101501,0.4953253978737021,167.3091244547787,1,agera5
EL VIJAO,-0.1556229646171048,468.29280743369895,0.23863636363636362,0.33389037433155083,340.64509626935416,1,agera5
LA LIMA,-0.13801720033947573,284.72565435794144,0.3317537035348613,0.472298823408823,54.577610446123984,1,agera5
TEGUCIGALPA,-1.4189166622694378,84.38091544090044,0.25449955558044174,0.36601614455656156,214.9372500504472,1,agera5
SANTA LUCIA,-0.5693375983608591,67.54302784618217,0.17424242424242425,0.25835561497326204,68.0322809513429,1,agera5
LA VENTA,-3.6574749260202175,240.3130562507454,0.1940087566049472,0.2793466678859591,126.85863098021744,1,agera5
GUINOPE,-0.28455464158554555,57.18533249945953,0.15849169449810416,0.2600806616224108,91.70166415218262,1,agera5
SAN ANTONIO DE FLORES,0.07997430169167119,38.60501659324451,0.22833581328080213,0.3151405732441225,169.2616858219243,1,agera5
SAN LUCAS,-0.16146507868953242,66.59040444202111,0.11144682816765492,0.14435550093377453,126.28017513434568,1,agera5
TEXIGUAT,0.04044478494597803,24.025089630968488,0.4244163148351185,0.5163625188071346,342.24959113616364,1,agera5
AMAPALA,,,,,,1,agera5
ALIANZA,0.3926246072432994,3.315112939236849,0.16379540195550588,0.19880307487404156,77.95478917948718,1,agera5
CHOLUTECA,0.36182149832830923,25.95367779669753,0.22803598938802735,0.28853446702836544,111.7750923443715,1,agera5
EL CEDRITO,0.5406172238245265,6.5880322179513895,0.39690441865114834,0.4827795893840947,138.73557680594593,1,agera5
GOASCORAN,0.06105069681647102,3.44217904208422,0.27931863568294035,0.346968771057933,73.05210235597444,1,agera5
LIURE,-1.5104206306105645,10.647869132886376,0.41213009692680214,0.5134806924670382,137.78085214145145,1,agera5
NAMASIGUE,0.815361426546605,5.129190890097088,0.35355839230350994,0.42424746747143705,85.6546235913798,1,agera5
SABANA GRANDE,-28.571094070591585,18.534422486095043,0.1358911116465716,0.16233721439285373,254.5434486557065,1,agera5
LA LABOR,-45.59554892749139,1219.7669213521094,0.12259472075004432,0.16207934554911624,1187.6792417112306,1,agera5
LA MESA,-1.5255773861056476,4593.565660595601,0.37948717948717947,0.5337711069418387,93.54325457856174,1,agera5
POTRERILLOS,-156.04162763576525,6435.871036181674,0.10843422682207488,0.13528575196597606,1514.0149637126465,1,agera5
ESQUIAS,-47.17023208486911,1044.0339429732805,0.3918119753669108,0.558728469455405,288.67608424643737,2,imerg
LA ERMITA,-2.0959881153377715,142.16846034785956,0.30498664866704095,0.4370338288208909,122.87683373201847,2,imerg
SULACO,-3.758358384582687,578.2976189482114,-0.03300491809922248,-0.07116428160926985,955.4578639648118,2,imerg
PLAYITAS,-9.260556044372048,408.88912711273946,0.21114460292333603,0.3185608029357096,446.142828599593,2,imerg
FLORES,-10.664408304221086,252.7222367600845,0.41039134083406165,0.6043586679964333,366.3812764942791,2,imerg
PITO SOLO,-0.06215450458169869,2480.634942436808,0.1999040690647504,0.22857073750448387,940.5029517376722,2,imerg
SANTA ELENA,-0.2850126919846674,1606.4048597792828,0.1999040690647504,0.23618976208796666,784.1025522769138,2,imerg
SANTA ROSA DE COPAN,-1.3525867155087261,532.6942722787114,0.021052631578947368,0.010526315789473682,67.15521055839184,2,imerg
EL NISPERO,-0.433295669473597,201.9109894940564,0.09901475429766741,0.1423285632185397,374.22261282586476,2,imerg
LA UNION,-0.6626935116835804,1038.324252245024,-0.03998081381295008,-0.0558728469455405,397.8748130592028,2,imerg
SAN JOSE DE LA MONTAÃ‘A,0.3110466530885778,228.70514142639652,0.13324272283470417,0.23876243629803234,379.78036615226733,2,imerg
SANTA RITA,-0.2530991616967899,1464.9448106259729,0.256823153249641,0.3036772797170351,326.83307428984506,2,imerg
LA ENTRADA,-0.7246849642651112,196.75263402584508,0.34502923976608185,0.487719298245614,67.84823585416206,2,imerg
QUIMISTA,-1.1542617332329113,372.94328491399085,-0.04093567251461988,-0.12456140350877193,119.66498616677228,2,imerg
LA CEIBA,-1.4316450466810497,71690.33056666456,0.4421052631578947,0.6195488721804511,80.85810660358484,2,imerg
ROATAN,,,,,,2,imerg
TELA,-1.4176378405171484,68163.26877695118,0.23746784507298882,0.35276422201354046,84.01609973506517,2,imerg
BALFATE,-0.6808056924521897,53279.486968399804,0.45263157894736844,0.5714285714285714,82.03552815424302,2,imerg
YORO,-0.3124928930533588,781.7317920428823,0.25263157894736843,0.3699248120300751,110.72091425544531,2,imerg
LA ESPERANZA,-3.480834391345274,1164.9411035828896,0.06315789473684211,0.12030075187969923,891.9545013493711,2,imerg
CAYETANO,-0.30551951205647354,845.1197153106534,0.19605786262608554,0.26591643861662395,344.96041457468675,2,imerg
EL GUINEO,-0.2559404934253138,2553.1588278928925,0.2752800463384447,0.4236134292401181,244.67618921629307,2,imerg
AZACUALPA-PATUCA,-0.4231041052563871,1126.5768661392956,0.03111733520062244,0.045317931479319236,954.1432332801852,2,imerg
SANTA MARIA,-0.6660708001163222,278.8771921360106,0.06600983619844496,0.08410324190186437,436.1906163605868,2,imerg
CATACAMAS,-0.898653324467569,744.824297556245,0.06860182190997455,0.11432870308327964,102.83175735354004,2,imerg
MANTO,-2.2941737042557855,514.1326706022146,0.233988039387678,0.2901173857823141,516.9228779026566,2,imerg
EL VIJAO,-0.4894961972911973,510.81651462686074,0.3165720532892114,0.4719663268705037,279.82468386729533,2,imerg
LA LIMA,-0.19423942559581442,408.59726136955965,0.30280805097228913,0.42045997939465807,294.32867043008304,2,imerg
TEGUCIGALPA,-11.598011292048051,326.8182946165702,0.11640374575964342,0.15951848007109523,2168.289897863959,2,imerg
SANTA LUCIA,-3.4051883837555605,218.41215600844504,0.14619883040935672,0.21403508771929824,238.56521750413674,2,imerg
LA VENTA,-1.5788487153825979,91.57129137723005,0.21912524504463884,0.28196861974519144,407.2704844625411,2,imerg
GUINOPE,-2.131342827892353,188.26951541426882,0.45413413961530413,0.5768167631573947,203.68458248179334,2,imerg
